index,input,llm_label,internal_label,confidence
0,slightly damp,medium,medium,0.600
1,slightly damp,medium,medium,0.600
2,slightly damp,medium,medium,0.600
3,slightly damp,medium,medium,0.600
4,slightly damp,medium,medium,0.600
5,slightly damp,medium,medium,0.600
6,slightly damp,medium,medium,0.600
7,slightly damp,medium,medium,0.600
8,slightly damp,medium,medium,0.600
9,slightly damp,medium,medium,0.600
10,slightly damp,medium,medium,0.600
11,slightly damp,medium,medium,0.600
12,slightly damp,medium,medium,0.600
13,slightly damp,medium,medium,0.600
14,slightly damp,medium,medium,0.600
15,slightly damp,medium,medium,0.600
16,slightly damp,medium,medium,0.600
17,slightly damp,medium,medium,0.600
18,slightly damp,medium,medium,0.600
19,slightly damp,medium,medium,0.600
20,slightly damp,medium,medium,0.600
21,slightly damp,medium,medium,0.600
22,slightly damp,medium,medium,0.600
23,slightly damp,medium,medium,0.600
24,slightly damp,medium,medium,0.600
25,slightly damp,medium,medium,0.600
26,slightly damp,medium,medium,0.600
