RBF Kernel Avg R²: -3.6862, Avg RMSE: 0.0993
Rational Quadratic Kernel Avg R²: -1.2816, Avg RMSE: 0.0632
Matern (ν=1.5) Kernel Avg R²: -1.2816, Avg RMSE: 0.0632
Matern (ν=0.5) Kernel Avg R²: -1.2711, Avg RMSE: 0.0632
Matern (ν=2.5) Kernel Avg R²: -1.2816, Avg RMSE: 0.0632
Exp-Sine-Squared Kernel Avg R²: -1.2817, Avg RMSE: 0.0632
Dot-Product Kernel Avg R²: -0.0312, Avg RMSE: 0.0465
Dot-Product + RBF Kernel Avg R²: -0.0286, Avg RMSE: 0.0465
Dot-Product * Rational Quadratic Kernel Avg R²: -0.0312, Avg RMSE: 0.0465
Dot-Product + Matern (ν=1.5) Kernel Avg R²: -0.0312, Avg RMSE: 0.0465
Dot-Product * Matern (ν=2.5) Kernel Avg R²: -0.0312, Avg RMSE: 0.0465
RBF + WhiteKernel Kernel Avg R²: -3.6862, Avg RMSE: 0.0993
Rational Quadratic + WhiteKernel Kernel Avg R²: -1.3944, Avg RMSE: 0.0632
RBF * Rational Quadratic Kernel Avg R²: -3.6862, Avg RMSE: 0.0993
Matern (ν=1.5) * RBF Kernel Avg R²: -3.6862, Avg RMSE: 0.0993
Matern (ν=0.5) + RBF Kernel Avg R²: -1.0190, Avg RMSE: 0.0660
Matern (ν=2.5) * Rational Quadratic Kernel Avg R²: -1.2816, Avg RMSE: 0.0632
Additive (RBF + WhiteKernel) Kernel Avg R²: -3.6862, Avg RMSE: 0.0993
Additive (Rational Quadratic + WhiteKernel) Kernel Avg R²: -1.3944, Avg RMSE: 0.0632
Multiplicative (RBF * Matern) Kernel Avg R²: -3.6862, Avg RMSE: 0.0993

Best Kernel: Dot-Product + RBF with Avg R²: -0.0286, Avg RMSE: 0.0465
